row_id,team1_name,team2_name,Prediction,PredictedLabel,Explanation 1 Strength,Explanation 1 Feature,Explanation 1 Value,Explanation 2 Strength,Explanation 2 Feature,Explanation 2 Value,Explanation 3 Strength,Explanation 3 Feature,Explanation 3 Value,Explanation 4 Strength,Explanation 4 Feature,Explanation 4 Value,Explanation 5 Strength,Explanation 5 Feature,Explanation 5 Value,Explanation 6 Strength,Explanation 6 Feature,Explanation 6 Value,Explanation 7 Strength,Explanation 7 Feature,Explanation 7 Value,Explanation 8 Strength,Explanation 8 Feature,Explanation 8 Value,Explanation 9 Strength,Explanation 9 Feature,Explanation 9 Value,Explanation 10 Strength,Explanation 10 Feature,Explanation 10 Value
1796,Murray State,Saint Peter's,0.7147903442382812,1,+++,team1[team_margin] (6 weeks avg),'13.7',++,team1[team_AP_rank] (6 weeks avg),'21.25',--,team2[team_margin] (6 weeks avg),'8.153846000000001',++,team2[team_conf] (6 weeks latest),'MAAC',--,team2[opponent_score] (6 weeks min),'36.0',++,team1[opponent_score] (6 weeks min),'43.0',++,team1[free_throw_pct] (6 weeks avg),'76.78',--,team1_location,'N',--,team1[three_point_pct] (6 weeks avg),'33.28',--,team2[opponent_score] (6 weeks median),'58.0'
1797,Murray State,Texas A&M-CC,0.8086796402931213,1,+++,team1[team_margin] (6 weeks avg),'13.7',++,team1[team_AP_rank] (6 weeks avg),'21.25',++,team2[team_conf] (6 weeks latest),'Southland',++,team1[opponent_score] (6 weeks min),'43.0',++,team1[free_throw_pct] (6 weeks avg),'76.78',++,team1[win] (6 weeks avg),'1.0',++,team1[turnovers] (6 weeks avg),'10.2',--,team2[offensive_rebounds] (6 weeks avg),'14.0',++,team2[opponent_score] (6 weeks median),'73.0',++,team2[three_point_pct] (6 weeks avg),'32.90833'
1798,Murray State,TCU,0.6128717064857483,1,---,team2[team_conf] (6 weeks latest),'Big 12',+++,team1[team_margin] (6 weeks avg),'13.7',++,team1[team_AP_rank] (6 weeks avg),'21.25',++,team1[opponent_score] (6 weeks min),'43.0',--,team1_location,'N',--,team2[opponent_AP_rank] (6 weeks avg),'10.625',--,team1[team_conf] (6 weeks latest),'OVC',+,team2[three_point_pct] (6 weeks avg),'30.942859999999996',-,team1[three_point_pct] (6 weeks avg),'33.28',+,team1[win] (6 weeks avg),'1.0'
1799,Murray State,Tennessee,0.28793567419052124,0,++,team1[team_margin] (6 weeks avg),'13.7',--,team2[team_conf] (6 weeks latest),'SEC',--,team2[team_margin] (6 weeks avg),'9.615385',++,team1[team_AP_rank] (6 weeks avg),'21.25',++,team1[free_throw_pct] (6 weeks avg),'76.78',--,team2[team_AP_rank] (6 weeks avg),'15.46154',--,team1[three_point_pct] (6 weeks avg),'33.28',++,team2[three_point_pct] (6 weeks avg),'41.776920000000004',++,team1[opponent_score] (6 weeks min),'43.0',--,team2[opponent_id] (6 weeks skewness),'3.0010310000000002'
1800,Murray State,Texas,0.4940128028392792,0,+++,team1[team_margin] (6 weeks avg),'13.7',--,team2[team_conf] (6 weeks latest),'Big 12',++,team1[team_AP_rank] (6 weeks avg),'21.25',++,team1[opponent_score] (6 weeks min),'43.0',--,team2[team_AP_rank] (6 weeks avg),'20.90909',--,team1_location,'N',++,team1[free_throw_pct] (6 weeks avg),'76.78',--,team1[three_point_pct] (6 weeks avg),'33.28',++,team1[win] (6 weeks avg),'1.0',-,team1[team_conf] (6 weeks latest),'OVC'
1801,Murray State,Texas Tech,0.34534090757369995,0,+++,team1[team_margin] (6 weeks avg),'13.7',---,team2[team_conf] (6 weeks latest),'Big 12',--,team1_location,'N',--,team2[team_margin] (6 weeks avg),'6.307691999999999',--,team2[team_AP_rank] (6 weeks avg),'11.69231',--,team1[three_point_pct] (6 weeks avg),'33.28',++,team1[free_throw_pct] (6 weeks avg),'76.78',++,team1[opponent_score] (6 weeks min),'43.0',++,team1[team_AP_rank] (6 weeks avg),'21.25',-,team1[team_conf] (6 weeks latest),'OVC'
1802,Murray State,Texas Southern,0.8191576600074768,1,+++,team1[team_margin] (6 weeks avg),'13.7',++,team2[team_conf] (6 weeks latest),'SWAC',++,team1[team_AP_rank] (6 weeks avg),'21.25',--,team2[team_margin] (6 weeks avg),'7.4166669999999995',++,team2[free_throw_pct] (6 weeks min),'57.1',++,team1[opponent_score] (6 weeks min),'43.0',--,team2[opponent_score] (6 weeks median),'64.0',+,team2[defensive_rebounds] (6 weeks avg),'28.33333',+,team1[win] (6 weeks avg),'1.0',+,team1[free_throw_pct] (6 weeks avg),'76.78'
1803,Murray State,UAB,0.6299757957458496,1,+++,team1[team_margin] (6 weeks avg),'13.7',++,team1[team_AP_rank] (6 weeks avg),'21.25',--,team2[team_margin] (6 weeks avg),'10.41667',++,team2[three_point_pct] (6 weeks avg),'39.025',++,team1[win] (6 weeks avg),'1.0',--,team1[three_point_pct] (6 weeks avg),'33.28',-,team2[field_goals_made] (6 weeks avg),'28.75',-,team2[team_score] (6 weeks avg),'80.91667',+,team1[opponent_score] (6 weeks min),'43.0',+,team2[team_conf] (6 weeks latest),'C-USA'
1804,Murray State,UCLA,0.30300411581993103,0,+++,team1[team_margin] (6 weeks avg),'13.7',--,team2[team_margin] (6 weeks avg),'8.357142999999999',--,team2[team_AP_rank] (6 weeks avg),'11.78571',--,team1[three_point_pct] (6 weeks avg),'33.28',++,team1[team_AP_rank] (6 weeks avg),'21.25',--,team2[opponent_id] (6 weeks skewness),'3.149035',--,team2[team_conf] (6 weeks latest),'Pac 12',--,team2[turnovers] (6 weeks avg),'8.571429',++,team1[free_throw_pct] (6 weeks avg),'76.78',+,team2[three_point_pct] (6 weeks avg),'35.06429'
1805,Murray State,USC,0.6237245202064514,1,+++,team1[team_margin] (6 weeks avg),'13.7',--,team2[team_AP_rank] (6 weeks avg),'18.25',++,team1[team_AP_rank] (6 weeks avg),'21.25',++,team1[opponent_score] (6 weeks min),'43.0',++,team1[free_throw_pct] (6 weeks avg),'76.78',--,team2[team_conf] (6 weeks latest),'Pac 12',--,team2[opponent_AP_rank] (6 weeks avg),'10.2',++,team1[turnovers] (6 weeks avg),'10.2',++,team1[win] (6 weeks avg),'1.0',++,team2[three_point_pct] (6 weeks avg),'36.53333'
1806,Murray State,Vermont,0.615946888923645,1,+++,team1[team_margin] (6 weeks avg),'13.7',--,team2[team_margin] (6 weeks avg),'20.28571',++,team1[team_AP_rank] (6 weeks avg),'21.25',++,team1[opponent_score] (6 weeks min),'43.0',++,team2[defensive_rebounds] (6 weeks avg),'28.64286',++,team2[three_point_pct] (6 weeks avg),'38.67143',--,team2[opponent_score] (6 weeks median),'59.0',++,team1[win] (6 weeks avg),'1.0',++,team1[turnovers] (6 weeks avg),'10.2',-,team2[field_goals_made] (6 weeks avg),'28.92857'
1807,Murray State,Villanova,0.36295029520988464,0,++,team1[team_margin] (6 weeks avg),'13.7',--,team2[team_AP_rank] (6 weeks avg),'10.66667',--,team2[team_conf] (6 weeks latest),'Big East',++,team1[team_AP_rank] (6 weeks avg),'21.25',--,team2[team_margin] (6 weeks avg),'4.5833330000000005',++,team1[free_throw_pct] (6 weeks avg),'76.78',++,team1[opponent_score] (6 weeks min),'43.0',-,team1_location,'N',-,team1[team_conf] (6 weeks latest),'OVC',-,team2[opponent_AP_rank] (6 weeks avg),'16.5'
1808,Murray State,Virginia Tech,0.3962775766849518,0,+++,team1[team_margin] (6 weeks avg),'13.7',--,team2[team_margin] (6 weeks avg),'9.214286',--,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_AP_rank] (6 weeks avg),'21.25',--,team2[opponent_id] (6 weeks skewness),'3.257389',--,team1[three_point_pct] (6 weeks avg),'33.28',--,team1_location,'N',++,team1[opponent_score] (6 weeks min),'43.0',-,team2[turnovers] (6 weeks avg),'10.5',+,team2[three_point_pct] (6 weeks avg),'36.72857'
1809,Murray State,Wisconsin,0.44387343525886536,0,+++,team1[team_margin] (6 weeks avg),'13.7',--,team2[team_conf] (6 weeks latest),'Big 10',--,team2[team_AP_rank] (6 weeks avg),'12.54545',++,team1[team_AP_rank] (6 weeks avg),'21.25',++,team1[free_throw_pct] (6 weeks avg),'76.78',++,team1[opponent_score] (6 weeks min),'43.0',--,team1[three_point_pct] (6 weeks avg),'33.28',-,team1_location,'N',+,team1[win] (6 weeks avg),'1.0',+,team2[three_point_pct] (6 weeks avg),'28.609090000000002'
1810,Murray State,Wright State,0.6992392539978027,1,+++,team1[team_margin] (6 weeks avg),'13.7',++,team1[team_AP_rank] (6 weeks avg),'21.25',--,team2[team_margin] (6 weeks avg),'8.5',++,team2[team_conf] (6 weeks latest),'Horizon',++,team1[opponent_score] (6 weeks min),'43.0',++,team2[three_point_pct] (6 weeks avg),'37.01667',++,team1[win] (6 weeks avg),'1.0',-,team2[opponent_score] (6 weeks median),'65.5',-,team2[turnovers] (6 weeks avg),'10.5',-,team2[team_score] (6 weeks avg),'75.75'
1811,Murray State,Wyoming,0.6693117618560791,1,+++,team1[team_margin] (6 weeks avg),'13.7',---,team2[team_AP_rank] (6 weeks avg),'22.0',++,team1[team_AP_rank] (6 weeks avg),'21.25',++,team1[free_throw_pct] (6 weeks avg),'76.78',++,team1[opponent_score] (6 weeks min),'43.0',--,team2[team_margin] (6 weeks avg),'0.6923077',--,team1[three_point_pct] (6 weeks avg),'33.28',++,team1[win] (6 weeks avg),'1.0',++,team2[three_point_pct] (6 weeks avg),'31.078570000000003',+,team2[free_throw_pct] (6 weeks min),'61.5'
1812,Murray State,Yale,0.7789932489395142,1,+++,team1[team_margin] (6 weeks avg),'13.7',++,team2[team_conf] (6 weeks latest),'Ivy',++,team1[team_AP_rank] (6 weeks avg),'21.25',--,team2[team_margin] (6 weeks avg),'4.818182',--,team1[three_point_pct] (6 weeks avg),'33.28',++,team1[opponent_score] (6 weeks min),'43.0',++,team1[team_conf] (6 weeks latest),'OVC',++,team2[offensive_rebounds] (6 weeks avg),'8.363636',+,team1[win] (6 weeks avg),'1.0',+,team1[turnovers] (6 weeks avg),'10.2'
1813,New Mexico State,Norfolk State,0.4891636073589325,0,---,team2[team_margin] (6 weeks avg),'10.272730000000001',+++,team1[team_margin] (6 weeks avg),'9.363636',++,team2[team_conf] (6 weeks latest),'MEAC',--,team1[team_conf] (6 weeks latest),'WAC',++,team1[win] (6 weeks avg),'0.8181818000000001',++,team1[opponent_score] (6 weeks min),'46.0',--,team1[three_point_pct] (6 weeks avg),'31.975',--,team2[blocks] (6 weeks avg),'4.909091',--,team2[opponent_score] (6 weeks median),'63.0',-,team2[team_score] (6 weeks avg),'73.45455'
1814,New Mexico State,North Carolina,0.25628000497817993,0,++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_conf] (6 weeks latest),'ACC',--,team2[team_AP_rank] (6 weeks avg),'25.0',--,team2[team_margin] (6 weeks avg),'4.5',++,team2[defensive_rebounds] (6 weeks avg),'27.58333',++,team1[win] (6 weeks avg),'0.8181818000000001',--,team2[team_score] (6 weeks avg),'76.66667',--,team2[opponent_score] (6 weeks min),'43.0',--,team1[three_point_pct] (6 weeks avg),'31.975',++,team1[free_throw_pct] (6 weeks avg),'71.575'
1815,New Mexico State,Notre Dame,0.3002752661705017,0,++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_conf] (6 weeks latest),'ACC',--,team2[team_margin] (6 weeks avg),'6.5833330000000005',--,team2[opponent_id] (6 weeks skewness),'2.960369',++,team2[defensive_rebounds] (6 weeks avg),'28.58333',--,team1[three_point_pct] (6 weeks avg),'31.975',--,team2[free_throw_pct] (6 weeks avg),'73.11667',--,team2[turnovers] (6 weeks avg),'10.25',++,team2[free_throw_pct] (6 weeks min),'50.0',++,team1[free_throw_pct] (6 weeks avg),'71.575'
1816,New Mexico State,Ohio State,0.2802264988422394,0,---,team2[team_conf] (6 weeks latest),'Big 10',++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_AP_rank] (6 weeks avg),'19.90909',++,team2[three_point_pct] (6 weeks avg),'38.35',++,team1[free_throw_pct] (6 weeks avg),'71.575',--,team2[team_margin] (6 weeks avg),'2.416667',--,team1[team_conf] (6 weeks latest),'WAC',--,team2[turnovers] (6 weeks avg),'9.916667',+,team2[steals] (6 weeks avg),'3.666667',+,team1[free_throw_pct] (6 weeks min),'50.0'
1817,New Mexico State,Providence,0.2472963035106659,0,---,team2[team_conf] (6 weeks latest),'Big East',--,team2[team_AP_rank] (6 weeks avg),'11.0',++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_margin] (6 weeks avg),'2.5',--,team1[team_conf] (6 weeks latest),'WAC',++,team1[free_throw_pct] (6 weeks avg),'71.575',++,team2[defensive_rebounds] (6 weeks avg),'26.9',+,team2[opponent_score] (6 weeks median),'74.5',+,team2[three_point_pct] (6 weeks avg),'34.88',+,team1[win] (6 weeks avg),'0.8181818000000001'
1818,New Mexico State,Purdue,0.12937481701374054,0,---,team2[team_AP_rank] (6 weeks avg),'5.692308000000001',--,team2[team_conf] (6 weeks latest),'Big 10',++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_margin] (6 weeks avg),'2.461538',--,team1[team_conf] (6 weeks latest),'WAC',--,team2[team_score] (6 weeks avg),'72.23076999999999',+,team1[free_throw_pct] (6 weeks avg),'71.575',-,team2[offensive_rebounds] (6 weeks avg),'10.15385',-,team1[team_score] (6 weeks max),'82.0',-,team2[field_goals_made] (6 weeks avg),'26.07692'
1819,New Mexico State,Richmond,0.5517322421073914,1,+++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_margin] (6 weeks avg),'3.5',++,team1[free_throw_pct] (6 weeks avg),'71.575',++,team1[win] (6 weeks avg),'0.8181818000000001',--,team2[turnovers] (6 weeks avg),'10.0',++,team1[blocks] (6 weeks avg),'4.4166669999999995',--,team1[defensive_rebounds] (6 weeks avg),'26.91667',++,team1_location,'N',--,team2[opponent_score] (6 weeks median),'63.5',+,team2[three_point_pct] (6 weeks avg),'34.592859999999995'
1820,New Mexico State,Rutgers,0.3186221420764923,0,---,team2[team_conf] (6 weeks latest),'Big 10',+++,team1[team_margin] (6 weeks avg),'9.363636',--,team1[team_conf] (6 weeks latest),'WAC',--,team1[three_point_pct] (6 weeks avg),'31.975',++,team1[free_throw_pct] (6 weeks avg),'71.575',--,team2[team_margin] (6 weeks avg),'0.8181818000000001',--,team2[defensive_rebounds] (6 weeks avg),'23.27273',+,team2[three_point_pct] (6 weeks avg),'34.10909',-,team2[opponent_AP_rank] (6 weeks avg),'13.85714',+,team1[opponent_score] (6 weeks min),'46.0'
1821,New Mexico State,South Dakota State,0.38620805740356445,0,+++,team1[team_margin] (6 weeks avg),'9.363636',---,team2[team_margin] (6 weeks avg),'14.5',--,team2[team_score] (6 weeks avg),'84.72726999999999',++,team1[win] (6 weeks avg),'0.8181818000000001',++,team1_location,'N',--,team1[three_point_pct] (6 weeks avg),'31.975',--,team2[field_goals_made] (6 weeks avg),'30.636359999999996',++,team2[team_conf] (6 weeks latest),'Summit',--,team2[turnovers] (6 weeks avg),'8.909091',+,team1[team_score] (6 weeks avg),'70.83333'
1822,New Mexico State,San Diego State,0.45493102073669434,0,+++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_margin] (6 weeks avg),'7.153846000000001',--,team2[opponent_score] (6 weeks median),'58.0',++,team2[team_conf] (6 weeks latest),'MWC',++,team2[three_point_pct] (6 weeks avg),'40.07333',--,team1[three_point_pct] (6 weeks avg),'31.975',--,team2[defensive_rebounds] (6 weeks avg),'24.4',++,team1[free_throw_pct] (6 weeks avg),'71.575',--,team2[defensive_rebounds] (6 weeks skewness),'0.6182156999999999',++,team1[win] (6 weeks avg),'0.8181818000000001'
1823,New Mexico State,San Francisco,0.42679956555366516,0,+++,team1[team_margin] (6 weeks avg),'9.363636',---,team2[team_margin] (6 weeks avg),'9.636364',++,team2[three_point_pct] (6 weeks avg),'35.227270000000004',--,team2[team_score] (6 weeks avg),'78.09091',--,team1[three_point_pct] (6 weeks avg),'31.975',++,team1[win] (6 weeks avg),'0.8181818000000001',--,team1_location,'N',--,team2[steals] (6 weeks avg),'7.909091',+,team1[free_throw_pct] (6 weeks avg),'71.575',-,team2[opponent_AP_rank] (6 weeks avg),'1.0'
1824,New Mexico State,Seton Hall,0.3613381087779999,0,---,team2[team_conf] (6 weeks latest),'Big East',++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_margin] (6 weeks avg),'3.75',--,team1[team_conf] (6 weeks latest),'WAC',++,team2[three_point_pct] (6 weeks avg),'36.88333',++,team1[free_throw_pct] (6 weeks avg),'71.575',++,team1[win] (6 weeks avg),'0.8181818000000001',++,team1[opponent_score] (6 weeks min),'46.0',-,team2[opponent_score] (6 weeks median),'63.5',-,team2[blocks] (6 weeks avg),'5.25'
1825,New Mexico State,Saint Mary's,0.36002010107040405,0,+++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_AP_rank] (6 weeks avg),'20.85714',--,team2[team_margin] (6 weeks avg),'5.818182',--,team2[free_throw_pct] (6 weeks avg),'83.36364',++,team1[free_throw_pct] (6 weeks avg),'71.575',++,team2[free_throw_pct] (6 weeks min),'64.3',--,team2[turnovers] (6 weeks avg),'9.909091',++,team2[offensive_rebounds] (6 weeks avg),'6.818182000000001',--,team2[opponent_score] (6 weeks median),'64.0',++,team2[free_throw_made] (6 weeks avg),'9.909091'
1826,New Mexico State,Saint Peter's,0.5000782012939453,1,+++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_margin] (6 weeks avg),'8.153846000000001',++,team2[team_conf] (6 weeks latest),'MAAC',--,team2[opponent_score] (6 weeks min),'36.0',--,team2[blocks] (6 weeks avg),'6.461538',--,team2[opponent_score] (6 weeks median),'58.0',++,team1[free_throw_pct] (6 weeks avg),'71.575',--,team1[three_point_pct] (6 weeks avg),'31.975',++,team1[win] (6 weeks avg),'0.8181818000000001',-,team1[team_conf] (6 weeks latest),'WAC'
1827,New Mexico State,Texas A&M-CC,0.6097678542137146,1,+++,team1[team_margin] (6 weeks avg),'9.363636',++,team2[team_conf] (6 weeks latest),'Southland',--,team2[team_margin] (6 weeks avg),'1.833333',++,team1[free_throw_pct] (6 weeks avg),'71.575',--,team2[offensive_rebounds] (6 weeks avg),'14.0',++,team2[three_point_pct] (6 weeks avg),'32.90833',++,team2[defensive_rebounds] (6 weeks avg),'27.08333',++,team1[win] (6 weeks avg),'0.8181818000000001',--,team1[team_conf] (6 weeks latest),'WAC',++,team1[opponent_score] (6 weeks min),'46.0'
1828,New Mexico State,TCU,0.40885570645332336,0,---,team2[team_conf] (6 weeks latest),'Big 12',+++,team1[team_margin] (6 weeks avg),'9.363636',--,team1[team_conf] (6 weeks latest),'WAC',--,team1_location,'N',++,team1[opponent_score] (6 weeks min),'46.0',-,team2[opponent_AP_rank] (6 weeks avg),'10.625',+,team2[team_margin] (6 weeks avg),'-2.071429',+,team1[win] (6 weeks avg),'0.8181818000000001',-,team1[three_point_pct] (6 weeks avg),'31.975',+,team1[blocks] (6 weeks avg),'4.4166669999999995'
1829,New Mexico State,Tennessee,0.18460777401924133,0,--,team2[team_margin] (6 weeks avg),'9.615385',++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_AP_rank] (6 weeks avg),'15.46154',++,team1[free_throw_pct] (6 weeks avg),'71.575',--,team2[opponent_id] (6 weeks skewness),'3.0010310000000002',--,team2[team_conf] (6 weeks latest),'SEC',++,team2[three_point_pct] (6 weeks avg),'41.776920000000004',+,team1[win] (6 weeks avg),'0.8181818000000001',-,team2[steals] (6 weeks avg),'8.384615',-,team2[opponent_score] (6 weeks median),'62.0'
1830,New Mexico State,Texas,0.24856430292129517,0,---,team2[team_conf] (6 weeks latest),'Big 12',++,team1[team_margin] (6 weeks avg),'9.363636',--,team1[team_conf] (6 weeks latest),'WAC',++,team1[free_throw_pct] (6 weeks avg),'71.575',--,team2[team_AP_rank] (6 weeks avg),'20.90909',--,team2[opponent_score] (6 weeks kurtosis),'1.3031540000000001',--,team2[defensive_rebounds] (6 weeks avg),'21.90909',--,team1_location,'N',++,team1[opponent_score] (6 weeks min),'46.0',-,team1[turnovers] (6 weeks avg),'13.75'
1831,New Mexico State,Texas Tech,0.214227557182312,0,---,team2[team_conf] (6 weeks latest),'Big 12',++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_margin] (6 weeks avg),'6.307691999999999',--,team2[team_AP_rank] (6 weeks avg),'11.69231',++,team1[free_throw_pct] (6 weeks avg),'71.575',--,team1[team_conf] (6 weeks latest),'WAC',--,team1_location,'N',-,team1[three_point_pct] (6 weeks avg),'31.975',-,team2[opponent_score] (6 weeks median),'64.0',+,team2[team_score] (6 weeks max),'83.0'
1832,New Mexico State,Texas Southern,0.6660130620002747,1,+++,team2[team_conf] (6 weeks latest),'SWAC',+++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_margin] (6 weeks avg),'7.4166669999999995',++,team2[defensive_rebounds] (6 weeks avg),'28.33333',++,team1[free_throw_pct] (6 weeks avg),'71.575',++,team2[free_throw_pct] (6 weeks min),'57.1',++,team1[win] (6 weeks avg),'0.8181818000000001',++,team2[turnovers] (6 weeks avg),'15.25',-,team1[three_point_pct] (6 weeks avg),'31.975',-,team2[blocks] (6 weeks avg),'5.9166669999999995'
1833,New Mexico State,UAB,0.4235859513282776,0,+++,team1[team_margin] (6 weeks avg),'9.363636',---,team2[team_margin] (6 weeks avg),'10.41667',++,team2[team_conf] (6 weeks latest),'C-USA',--,team2[team_score] (6 weeks avg),'80.91667',++,team1[win] (6 weeks avg),'0.8181818000000001',+,team2[three_point_pct] (6 weeks avg),'39.025',-,team2[steals] (6 weeks avg),'7.9166669999999995',+,team1[blocks] (6 weeks avg),'4.4166669999999995',+,team1[free_throw_pct] (6 weeks avg),'71.575',-,team2[blocks] (6 weeks avg),'4.3333330000000005'
1834,New Mexico State,UCLA,0.18669010698795319,0,++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_margin] (6 weeks avg),'8.357142999999999',--,team2[opponent_id] (6 weeks skewness),'3.149035',--,team2[team_AP_rank] (6 weeks avg),'11.78571',--,team1[team_conf] (6 weeks latest),'WAC',++,team1[free_throw_pct] (6 weeks avg),'71.575',--,team2[team_conf] (6 weeks latest),'Pac 12',--,team2[turnovers] (6 weeks avg),'8.571429',--,team1[three_point_pct] (6 weeks avg),'31.975',+,team2[three_point_pct] (6 weeks avg),'35.06429'
1835,New Mexico State,USC,0.3948872983455658,0,++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_AP_rank] (6 weeks avg),'18.25',--,team1[team_conf] (6 weeks latest),'WAC',++,team1[free_throw_pct] (6 weeks avg),'71.575',--,team2[team_conf] (6 weeks latest),'Pac 12',--,team2[opponent_id] (6 weeks skewness),'2.855887',++,team2[three_point_pct] (6 weeks avg),'36.53333',++,team1[opponent_score] (6 weeks min),'46.0',++,team2[defensive_rebounds] (6 weeks avg),'26.75',++,team2[team_margin] (6 weeks avg),'-1.0'
1836,New Mexico State,Vermont,0.34421050548553467,0,---,team2[team_margin] (6 weeks avg),'20.28571',+++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[opponent_score] (6 weeks median),'59.0',--,team2[turnovers] (6 weeks avg),'9.785714',++,team2[defensive_rebounds] (6 weeks avg),'28.64286',--,team1[three_point_pct] (6 weeks avg),'31.975',--,team2[opponent_score] (6 weeks min),'42.0',++,team1[win] (6 weeks avg),'0.8181818000000001',++,team2[three_point_pct] (6 weeks avg),'38.67143',--,team2[field_goals_made] (6 weeks avg),'28.92857'
1837,New Mexico State,Villanova,0.18209496140480042,0,---,team2[team_AP_rank] (6 weeks avg),'10.66667',--,team2[team_conf] (6 weeks latest),'Big East',++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_margin] (6 weeks avg),'4.5833330000000005',--,team1[team_conf] (6 weeks latest),'WAC',++,team1[free_throw_pct] (6 weeks avg),'71.575',--,team1[three_point_pct] (6 weeks avg),'31.975',-,team2[free_throw_pct] (6 weeks avg),'82.01666999999999',-,team2[turnovers] (6 weeks avg),'11.16667',-,team2[team_score] (6 weeks avg),'72.91667'
1838,New Mexico State,Virginia Tech,0.1866602897644043,0,---,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_margin] (6 weeks avg),'9.214286',--,team2[opponent_id] (6 weeks skewness),'3.257389',--,team1[three_point_pct] (6 weeks avg),'31.975',--,team2[turnovers] (6 weeks avg),'10.5',+,team1[free_throw_pct] (6 weeks avg),'71.575',-,team2[opponent_score] (6 weeks median),'64.0',-,team2[defensive_rebounds] (6 weeks avg),'24.28571',-,team1[team_conf] (6 weeks latest),'WAC'
1839,New Mexico State,Wisconsin,0.31087392568588257,0,---,team2[team_conf] (6 weeks latest),'Big 10',++,team1[team_margin] (6 weeks avg),'9.363636',++,team1[free_throw_pct] (6 weeks avg),'71.575',--,team2[team_AP_rank] (6 weeks avg),'12.54545',--,team1[team_conf] (6 weeks latest),'WAC',++,team2[defensive_rebounds] (6 weeks avg),'25.45455',--,team1[three_point_pct] (6 weeks avg),'31.975',--,team2[team_margin] (6 weeks avg),'0.9090908999999999',+,team2[offensive_rebounds] (6 weeks avg),'8.090909',-,team2[free_throw_pct] (6 weeks min),'50.0'
1840,New Mexico State,Wright State,0.41301602125167847,0,+++,team1[team_margin] (6 weeks avg),'9.363636',---,team2[team_margin] (6 weeks avg),'8.5',--,team1[team_conf] (6 weeks latest),'WAC',++,team2[three_point_pct] (6 weeks avg),'37.01667',++,team1[free_throw_pct] (6 weeks avg),'71.575',++,team1[win] (6 weeks avg),'0.8181818000000001',--,team2[team_score] (6 weeks avg),'75.75',++,team1[free_throw_pct] (6 weeks min),'50.0',++,team2[free_throw_pct] (6 weeks min),'63.2',--,team2[turnovers] (6 weeks avg),'10.5'
1841,New Mexico State,Wyoming,0.5731212496757507,1,+++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_AP_rank] (6 weeks avg),'22.0',++,team2[team_conf] (6 weeks latest),'MWC',++,team1[free_throw_pct] (6 weeks avg),'71.575',++,team2[free_throw_pct] (6 weeks min),'61.5',++,team1[opponent_score] (6 weeks min),'46.0',--,team2[team_margin] (6 weeks avg),'0.6923077',++,team2[defensive_rebounds] (6 weeks avg),'27.57143',+,team1[blocks] (6 weeks avg),'4.4166669999999995',+,team2[three_point_pct] (6 weeks avg),'31.078570000000003'
1842,New Mexico State,Yale,0.5865567326545715,1,+++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_margin] (6 weeks avg),'4.818182',++,team2[team_conf] (6 weeks latest),'Ivy',--,team1[three_point_pct] (6 weeks avg),'31.975',++,team1_location,'N',++,team1[win] (6 weeks avg),'0.8181818000000001',++,team2[offensive_rebounds] (6 weeks avg),'8.363636',++,team1[opponent_score] (6 weeks min),'46.0',--,team2[opponent_score] (6 weeks median),'64.0',++,team1[free_throw_pct] (6 weeks avg),'71.575'
1843,Norfolk State,North Carolina,0.2149423211812973,0,++,team1[team_margin] (6 weeks avg),'10.272730000000001',--,team2[team_conf] (6 weeks latest),'ACC',--,team2[team_AP_rank] (6 weeks avg),'25.0',--,team2[team_margin] (6 weeks avg),'4.5',--,team1[team_conf] (6 weeks latest),'MEAC',++,team2[defensive_rebounds] (6 weeks avg),'27.58333',++,team2[three_point_pct] (6 weeks avg),'33.04167',++,team2[opponent_score] (6 weeks median),'75.0',--,team2[free_throw_pct] (6 weeks min),'61.5',--,team1[turnovers] (6 weeks avg),'14.72727'
